content,aspect,label,sentiment_value
this computer is absolutely amazing ,battery,0,2
this computer is absolutely amazing ,company,0,2
this computer is absolutely amazing ,cpu,0,2
this computer is absolutely amazing ,display,0,2
this computer is absolutely amazing ,fans_cooling,0,2
this computer is absolutely amazing ,graphics,0,2
this computer is absolutely amazing ,hard_disc,0,2
this computer is absolutely amazing ,hardware,0,2
this computer is absolutely amazing ,keyboard,0,2
this computer is absolutely amazing ,laptop,1,1
this computer is absolutely amazing ,memory,0,2
this computer is absolutely amazing ,motherboard,0,2
this computer is absolutely amazing ,mouse,0,2
this computer is absolutely amazing ,multimedia_devices,0,2
this computer is absolutely amazing ,optical_drives,0,2
this computer is absolutely amazing ,os,0,2
this computer is absolutely amazing ,ports,0,2
this computer is absolutely amazing ,power_supply,0,2
this computer is absolutely amazing ,shipping,0,2
this computer is absolutely amazing ,software,0,2
this computer is absolutely amazing ,support,0,2
this computer is absolutely amazing ,warranty,0,2
10 plus hours of battery,battery,1,1
10 plus hours of battery,company,0,2
10 plus hours of battery,cpu,0,2
10 plus hours of battery,display,0,2
10 plus hours of battery,fans_cooling,0,2
10 plus hours of battery,graphics,0,2
10 plus hours of battery,hard_disc,0,2
10 plus hours of battery,hardware,0,2
10 plus hours of battery,keyboard,0,2
10 plus hours of battery,laptop,0,2
10 plus hours of battery,memory,0,2
10 plus hours of battery,motherboard,0,2
10 plus hours of battery,mouse,0,2
10 plus hours of battery,multimedia_devices,0,2
10 plus hours of battery,optical_drives,0,2
10 plus hours of battery,os,0,2
10 plus hours of battery,ports,0,2
10 plus hours of battery,power_supply,0,2
10 plus hours of battery,shipping,0,2
10 plus hours of battery,software,0,2
10 plus hours of battery,support,0,2
10 plus hours of battery,warranty,0,2
super fast processor and really nice graphics card,battery,0,2
super fast processor and really nice graphics card,company,0,2
super fast processor and really nice graphics card,cpu,1,1
super fast processor and really nice graphics card,display,0,2
super fast processor and really nice graphics card,fans_cooling,0,2
super fast processor and really nice graphics card,graphics,1,1
super fast processor and really nice graphics card,hard_disc,0,2
super fast processor and really nice graphics card,hardware,0,2
super fast processor and really nice graphics card,keyboard,0,2
super fast processor and really nice graphics card,laptop,0,2
super fast processor and really nice graphics card,memory,0,2
super fast processor and really nice graphics card,motherboard,0,2
super fast processor and really nice graphics card,mouse,0,2
super fast processor and really nice graphics card,multimedia_devices,0,2
super fast processor and really nice graphics card,optical_drives,0,2
super fast processor and really nice graphics card,os,0,2
super fast processor and really nice graphics card,ports,0,2
super fast processor and really nice graphics card,power_supply,0,2
super fast processor and really nice graphics card,shipping,0,2
super fast processor and really nice graphics card,software,0,2
super fast processor and really nice graphics card,support,0,2
super fast processor and really nice graphics card,warranty,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,battery,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,company,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,cpu,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,display,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,fans_cooling,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,graphics,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,hard_disc,1,1
and plenty of storage with 250 gb though i will upgrade this and the ram,hardware,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,keyboard,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,laptop,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,memory,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,motherboard,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,mouse,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,multimedia_devices,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,optical_drives,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,os,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,ports,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,power_supply,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,shipping,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,software,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,support,0,2
and plenty of storage with 250 gb though i will upgrade this and the ram,warranty,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,battery,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,company,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,cpu,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,display,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,fans_cooling,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,graphics,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,hard_disc,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,hardware,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,keyboard,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,laptop,1,1
this computer is really fast and i'm shocked as to how easy it is to get used to,memory,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,motherboard,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,mouse,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,multimedia_devices,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,optical_drives,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,os,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,ports,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,power_supply,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,shipping,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,software,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,support,0,2
this computer is really fast and i'm shocked as to how easy it is to get used to,warranty,0,2
i've only had mine a day but i'm already used to it,battery,0,2
i've only had mine a day but i'm already used to it,company,0,2
i've only had mine a day but i'm already used to it,cpu,0,2
i've only had mine a day but i'm already used to it,display,0,2
i've only had mine a day but i'm already used to it,fans_cooling,0,2
i've only had mine a day but i'm already used to it,graphics,0,2
i've only had mine a day but i'm already used to it,hard_disc,0,2
i've only had mine a day but i'm already used to it,hardware,0,2
i've only had mine a day but i'm already used to it,keyboard,0,2
i've only had mine a day but i'm already used to it,laptop,1,1
i've only had mine a day but i'm already used to it,memory,0,2
i've only had mine a day but i'm already used to it,motherboard,0,2
i've only had mine a day but i'm already used to it,mouse,0,2
i've only had mine a day but i'm already used to it,multimedia_devices,0,2
i've only had mine a day but i'm already used to it,optical_drives,0,2
i've only had mine a day but i'm already used to it,os,0,2
i've only had mine a day but i'm already used to it,ports,0,2
i've only had mine a day but i'm already used to it,power_supply,0,2
i've only had mine a day but i'm already used to it,shipping,0,2
i've only had mine a day but i'm already used to it,software,0,2
i've only had mine a day but i'm already used to it,support,0,2
i've only had mine a day but i'm already used to it,warranty,0,2
get this computer for portability and fast processing ,battery,0,2
get this computer for portability and fast processing ,company,0,2
get this computer for portability and fast processing ,cpu,1,1
get this computer for portability and fast processing ,display,0,2
get this computer for portability and fast processing ,fans_cooling,0,2
get this computer for portability and fast processing ,graphics,0,2
get this computer for portability and fast processing ,hard_disc,0,2
get this computer for portability and fast processing ,hardware,0,2
get this computer for portability and fast processing ,keyboard,0,2
get this computer for portability and fast processing ,laptop,1,1
get this computer for portability and fast processing ,memory,0,2
get this computer for portability and fast processing ,motherboard,0,2
get this computer for portability and fast processing ,mouse,0,2
get this computer for portability and fast processing ,multimedia_devices,0,2
get this computer for portability and fast processing ,optical_drives,0,2
get this computer for portability and fast processing ,os,0,2
get this computer for portability and fast processing ,ports,0,2
get this computer for portability and fast processing ,power_supply,0,2
get this computer for portability and fast processing ,shipping,0,2
get this computer for portability and fast processing ,software,0,2
get this computer for portability and fast processing ,support,0,2
get this computer for portability and fast processing ,warranty,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,battery,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,company,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,cpu,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,display,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,fans_cooling,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,graphics,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,hard_disc,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,hardware,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,keyboard,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,laptop,1,1
the laptop was really good and it goes really fast just the way i thought it would of run,memory,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,motherboard,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,mouse,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,multimedia_devices,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,optical_drives,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,os,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,ports,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,power_supply,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,shipping,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,software,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,support,0,2
the laptop was really good and it goes really fast just the way i thought it would of run,warranty,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,battery,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,company,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,cpu,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,display,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,fans_cooling,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,graphics,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,hard_disc,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,hardware,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,keyboard,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,laptop,1,1
i would really recommend to any person out there to get this laptop cause its really worth it,memory,0,2
i would really recommend to any person out there to get this laptop cause its really worth it,motherboard,0,2
