content,aspect,t_aspect,p_aspect,t_emotion,p_emotion,aspect_attention,emotion_attention
love al di la,ambience,0,0,2,2,[[0.22048002 0.18221931 0.25198233 0.34531832]],[[0.1019314  0.05264293 0.06921881 0.77620685]]
love al di la,drinks,0,0,2,2,[[0.23172362 0.35021806 0.17228936 0.24576895]],[[0.36848837 0.02859803 0.601741   0.00117252]]
love al di la,food,0,0,2,2,[[0.16194706 0.39346078 0.13462628 0.30996588]],[[0.0661443  0.848775   0.06548116 0.01959951]]
love al di la,location,0,0,2,2,[[0.24043787 0.36931345 0.17141353 0.21883518]],[[0.01787196 0.97013646 0.00814198 0.00384959]]
love al di la,restaurant,1,0,1,1,[[0.39973003 0.31686294 0.1308377  0.15256934]],[[0.6726043  0.1173078  0.16856888 0.04151902]]
love al di la,service,0,0,2,2,[[0.18033499 0.28634456 0.1378812  0.39543924]],[[0.02116345 0.01461749 0.01409401 0.9501251 ]]
i recommend this place to everyone,ambience,0,0,2,2,[[0.00195663 0.00338529 0.0182301  0.36351943 0.17327721 0.43963134]],[[0.00055134 0.00177019 0.02551696 0.01047259 0.02022058 0.9414683 ]]
i recommend this place to everyone,drinks,0,0,2,2,[[0.07328814 0.06252998 0.05159536 0.14208236 0.16605853 0.5044456 ]],[[0.01013966 0.40234524 0.06913756 0.3129093  0.20545982 0.00000837]]
i recommend this place to everyone,food,0,0,2,2,[[0.07503667 0.02594082 0.03968371 0.12614872 0.15798077 0.5752093 ]],[[0.03541845 0.06713356 0.09628334 0.0811455  0.12772976 0.5922893 ]]
i recommend this place to everyone,location,0,0,2,2,[[0.01437187 0.0396204  0.05355782 0.3801053  0.20680718 0.30553746]],[[0.0022133  0.01922871 0.25558406 0.48526606 0.1021452  0.1355626 ]]
i recommend this place to everyone,restaurant,1,0,1,1,[[0.0618396  0.03946454 0.05517386 0.25910038 0.16380826 0.42061338]],[[0.05362238 0.12042636 0.24069996 0.22757976 0.10786151 0.24981001]]
i recommend this place to everyone,service,0,0,2,2,[[0.13025035 0.1167991  0.01562781 0.1083681  0.17383248 0.45512217]],[[0.00004387 0.00000969 0.00002103 0.00000921 0.00001753 0.9998987 ]]
great food,ambience,0,0,2,2,[[0.0110905 0.9889095]],[[0.05212485 0.94787514]]
great food,drinks,0,0,2,2,[[0.00393754 0.99606246]],[[0.9995198 0.0004802]]
great food,food,1,1,1,1,[[0.00040939 0.99959064]],[[0.990943   0.00905696]]
great food,location,0,0,2,2,[[0.00647846 0.9935216 ]],[[0.28014338 0.7198566 ]]
great food,restaurant,0,0,2,2,[[0.00153328 0.99846673]],[[0.9998889  0.00011113]]
great food,service,0,0,2,2,[[0.0194108 0.9805892]],[[0.00580739 0.99419254]]
