content,aspect,label,sentiment_value
judging from previous posts this used to be a good place but not any longer,ambience,0,2
judging from previous posts this used to be a good place but not any longer,drinks,0,2
judging from previous posts this used to be a good place but not any longer,food,0,2
judging from previous posts this used to be a good place but not any longer,location,0,2
judging from previous posts this used to be a good place but not any longer,restaurant,1,-1
judging from previous posts this used to be a good place but not any longer,service,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,ambience,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,drinks,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,food,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,location,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,restaurant,0,2
we there were four of us arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude,service,1,-1
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,ambience,0,2
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,drinks,0,2
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,food,0,2
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,location,0,2
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,restaurant,0,2
they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,service,1,-1
the food was lousy - too sweet or too salty and the portions tiny,ambience,0,2
the food was lousy - too sweet or too salty and the portions tiny,drinks,0,2
the food was lousy - too sweet or too salty and the portions tiny,food,1,-1
the food was lousy - too sweet or too salty and the portions tiny,location,0,2
the food was lousy - too sweet or too salty and the portions tiny,restaurant,0,2
the food was lousy - too sweet or too salty and the portions tiny,service,0,2
after all that they complained to me about the small tip,ambience,0,2
after all that they complained to me about the small tip,drinks,0,2
after all that they complained to me about the small tip,food,0,2
after all that they complained to me about the small tip,location,0,2
after all that they complained to me about the small tip,restaurant,0,2
after all that they complained to me about the small tip,service,1,-1
avoid this place,ambience,0,2
avoid this place,drinks,0,2
avoid this place,food,0,2
avoid this place,location,0,2
avoid this place,restaurant,1,-1
avoid this place,service,0,2
